TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Trerf1	1110028F11Rik	0.5947	42.39	0.395	rgb(221,142,142)	1.8288	2,2
Scmh1	1110051M20Rik	0.24526	34.34	0.34	rgb(221,152,153)	1.6676	2,2
Scmh1	1700008J07Rik	0.05254	30.27	0.266	rgb(220,166,167)	1.5861	2,2
Trerf1	1700009P17Rik	0.03015	30.43	0.427	rgb(222,135,136)	1.5893	2,2
Scmh1	4921513I03Rik	0.11851	31.31	0.382	rgb(221,144,145)	1.6069	2,2
Scmh1	4931406H21Rik	0.40756	37.26	0.258	rgb(220,168,168)	1.7261	2,2
Scmh1	6430531B16Rik	0.67996	44.38	0.381	rgb(221,144,145)	1.8686	2,2
Scmh1	8430427H17Rik	0.30854	35.18	0.18	rgb(219,183,183)	1.6844	2,2
Scmh1	9630028B13Rik	0.11376	31.28	0.283	rgb(220,163,164)	1.6063	2,2
Scmh1	A530099J19Rik	0.64949	43.41	0.414	rgb(222,138,139)	1.8492	2,2
Trerf1	A930005H10Rik	0.25266	34.4	0.396	rgb(221,141,142)	1.6688	2,2
Trerf1	AI504432	0.17879	33.25	0.251	rgb(220,169,170)	1.6458	2,2
Trerf1	Abca2	0.78518	47.46	0.458	rgb(222,130,130)	1.9303	2,2
Trerf1	Abcb9	0.44913	38.58	0.583	rgb(223,106,107)	1.7525	2,2
Trerf1	Acat1	0.26265	34.56	0.559	rgb(223,110,111)	1.672	2,2
Trerf1	Adam8	0.12359	32.26	0.264	rgb(220,167,167)	1.626	2,2
Trerf1	Arhgap30	0.16306	32.23	0.23	rgb(220,173,173)	1.6254	2,2
Trerf1	Arhgef1	0.87075	49.47	0.465	rgb(222,128,129)	1.9706	2,2
Trerf1	Atxn10	0.96212	50.56	0.559	rgb(223,110,111)	1.9924	2,2
Scmh1	B4galnt1	0.14023	31.48	0.482	rgb(222,125,126)	1.6103	2,2
Scmh1	BC049715	0.64529	43.37	0.375	rgb(221,145,146)	1.8484	2,2
Trerf1	BC049715	0.27907	35.21	0.208	rgb(219,177,178)	1.685	2,2
Trerf1	Birc2	0.38579	37.32	0.315	rgb(220,157,157)	1.7273	2,2
Scmh1	Card11	0.29134	34.44	0.438	rgb(222,133,134)	1.6696	2,2
Trerf1	Casp7	0.54286	41.25	0.247	rgb(220,170,170)	1.806	2,2
Scmh1	Ccdc101	0.58353	41.45	0.455	rgb(222,130,131)	1.81	2,2
Scmh1	Ccdc11	0.68501	44.43	0.427	rgb(222,136,136)	1.8696	2,2
Trerf1	Ccnb2	0.17749	33.24	0.239	rgb(220,171,172)	1.6456	2,2
Trerf1	Cdca2	0.0086631	30.28	0.278	rgb(220,164,164)	1.5863	2,2
Trerf1	Cep164	0.54656	41.29	0.288	rgb(220,162,163)	1.8068	2,2
Trerf1	Cep41	0.24151	34.31	0.308	rgb(220,158,159)	1.667	2,2
Scmh1	Cited2	0.4024	37.5	0.505	rgb(223,121,122)	1.7309	2,2
Trerf1	Cklf	0.19953	33.39	0.391	rgb(221,142,143)	1.6486	2,2
Scmh1	Colq	0.83599	48.55	0.55	rgb(223,112,113)	1.9521	2,2
Scmh1	Csmd1	0.23208	34.24	0.24	rgb(220,171,172)	1.6656	2,2
Scmh1	Cul7	0.67075	44.43	0.432	rgb(222,134,135)	1.8696	2,2
Trerf1	Cul7	0.055407	31.2	0.2	rgb(219,179,179)	1.6047	2,2
Scmh1	Cul9	0.093892	31.15	0.152	rgb(219,188,188)	1.6037	2,2
Trerf1	Cul9	0.16874	33.18	0.176	rgb(219,183,184)	1.6444	2,2
Scmh1	D630039A03Rik	0.50586	39.4	0.396	rgb(221,141,142)	1.7689	2,2
Scmh1	Dusp1	0.24082	33.42	0.425	rgb(222,136,137)	1.6492	2,2
Trerf1	E2f1	0.39283	37.38	0.379	rgb(221,145,145)	1.7285	2,2
Scmh1	Ebi3	0.1304	32.3	0.301	rgb(220,160,160)	1.6268	2,2
Scmh1	Ehbp1	0.38718	37.33	0.327	rgb(221,155,155)	1.7275	2,2
Trerf1	Emid1	0.41669	38.2	0.203	rgb(219,178,179)	1.7449	2,2
Scmh1	Ephx2	0.87075	49.47	0.498	rgb(222,122,123)	1.9706	2,2
Scmh1	Erlin1	0.47725	39.38	0.383	rgb(221,144,145)	1.7685	2,2
Scmh1	Ext2	0.004612	29.35	0.353	rgb(221,150,150)	1.5677	2,2
Trerf1	Ext2	0.4376	38.39	0.392	rgb(221,142,143)	1.7487	2,2
Scmh1	Eya2	0.7584	46.5	0.495	rgb(222,122,123)	1.9111	2,2
Trerf1	Eya2	0.50321	40.25	0.25	rgb(220,169,170)	1.7859	2,2
Scmh1	Fam35a	0.11539	31.29	0.291	rgb(220,161,162)	1.6065	2,2
Trerf1	Fgd2	0.42641	38.3	0.303	rgb(220,159,160)	1.7469	2,2
Scmh1	Gbp10	0.64729	43.39	0.392	rgb(221,142,143)	1.8488	2,2
